date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:12	430/430	---M--	200	added ('OK')	image/png	etag:%221ae-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg5.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg5.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:12	382/382	---M--	200	added ('OK')	image/png	etag:%2217e-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:12	389/389	---M--	200	added ('OK')	image/png	etag:%22185-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg2.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg2.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:13	396/396	---M--	200	added ('OK')	image/png	etag:%2218c-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg3.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg3.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:13	388/388	---M--	200	added ('OK')	image/png	etag:%22184-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg4.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-frameWithHCaptionNumIcon/2/bg4.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:13	169014/169014	---M--	200	added ('OK')	image/jpeg	etag:%2229436-61f290c97d448%22	http://www.jbc-japan.co.jp/_p/acre/9783/images/pc/445d051b.jpg	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_p/acre/9783/images/pc/445d051b.jpg	(from http://www.jbc-japan.co.jp/)
18:19:13	621/621	---M--	200	added ('OK')	image/png	etag:%2226d-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-twoColsMediaWithNumIcon/bg2.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-twoColsMediaWithNumIcon/bg2.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:14	2533/2533	---M--	200	added ('OK')	image/png	etag:%229e5-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-twoColsMediaWithNumIcon/bg.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-twoColsMediaWithNumIcon/bg.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:14	1851/1851	---M--	200	added ('OK')	image/png	etag:%2273b-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-lv4H-numIcon__icon/anshin/bg.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-lv4H-numIcon__icon/anshin/bg.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:14	1903/1903	---M--	200	added ('OK')	image/png	etag:%2276f-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-lv4H-numIcon__icon/concept/bg.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-lv4H-numIcon__icon/concept/bg.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
